typ_bw,FID,rvs_str,key_str,bez_str,richtung_str,km_von,km_bis,bez_bw,nr_bw,baujahr_bw,breite_bw,hoehe_bw
bruecke,bruecke.141,8    -L  97 -    -,L97,Klostertaler Straße,RFB 1,10.472,10.508,Alfenzbrücke,L097 019,1995,6,
bruecke,bruecke.171,8    -L  97 -    -,L97,Klostertaler Straße,RFB 1,12.433,12.451,Rotrüfetobelbrücke,L097 008,1996,6,
bruecke,bruecke.286,8    -L  97 -    -,L97,Klostertaler Straße,RFB 1,8.119,8.169,Anschlussbauwerk Braz Ost,S16 008,1970,6,
bruecke,bruecke.370,8    -L  97 -    -,L97,Klostertaler Straße,RFB 1,12.964,12.969,Winkeltobelbrücke,L097 009,1954,6,
bruecke,bruecke.402,8    -L  97 -    -,L97,Klostertaler Straße,RFB 1,18.529,18.553,Spreubachbrücke,L097 016,2003,6,
bruecke,bruecke.417,8    -L  97 -    -,L97,Klostertaler Straße,RFB 1,13.136,13.142,Herrentobelbrücke,L097 010,1954,6,
bruecke,bruecke.446,8    -L  97 -    -,L97,Klostertaler Straße,RFB 1,14.593,14.599,Klemmebachbrücke,L097 011,1954,6,
bruecke,bruecke.500,8    -L  97 -    -,L97,Klostertaler Straße,RFB 1,5.605,5.624,Mühletobelbrücke,L097 004,1976,6,
bruecke,bruecke.548,8    -L  97 -    -,L97,Klostertaler Straße,RFB 1,6.802,6.826,Masonbachbrücke,L097 005,1976,6,
bruecke,bruecke.576,8    -L  97 -    -,L97,Klostertaler Straße,RFB 1,4.611,4.633,Almeintobelbrücke,L097 003,2000,6,
bruecke,bruecke.606,8    -L  97 -    -,L97,Klostertaler Straße,RFB 1,9.603,9.64,Brücke über den Wirtschaftsweg 4,S16 005,1996,6,
bruecke,bruecke.642,8    -L  97 -    -,L97,Klostertaler Straße,RFB 1,21.368,21.381,Wäldlebachbrücke,L097 018,1955,6,
bruecke,bruecke.660,8    -L  97 -    -,L97,Klostertaler Straße,RFB 1,11.905,11.934,Kleine Engelbrücke,L097 007,2007,6,
bruecke,bruecke.118,8    -P 188 -    -,P188,Silvretta Hochalpenstraße (Illwerke),RFB 1,0,0,Illbrücke,P188 005,,7.5,
bruecke,bruecke.185,8    -P 188 -    -,P188,Silvretta Hochalpenstraße (Illwerke),RFB 1,0,0,Illbrücke,P188 003,,7.5,
bruecke,bruecke.355,8    -P 188 -    -,P188,Silvretta Hochalpenstraße (Illwerke),RFB 1,0,0,Illbrücke,P188 002,,7.5,
bruecke,bruecke.623,8    -P 188 -    -,P188,Silvretta Hochalpenstraße (Illwerke),RFB 1,0,0,Illbrücke,P188 004,,7.5,
bruecke,bruecke.633,8    -P 188 -    -,P188,Silvretta Hochalpenstraße (Illwerke),RFB 1,0,0,Illbrücke,P188 001,,7.5,
bruecke,bruecke.526,8    -P  82 -    -,P82,Lünersee Straße (Illwerke),RFB 1,0,0.009,Illwerkebrücke (Palüdbach),L082 016,,7.5,
galerie,galerie.8,8    -L 193 -    -,L193,Faschinastraße,RFB 1,26.629,27.783,Hahnenköpflegalerie,B193 G01,1985,,5.8
galerie,galerie.45,8    -L 197 -    -,L197,Arlbergstraße,RFB 1,17.134,17.917,Ralegg - Galerie,B197 G01,1995,,5.8
