typ_bw,FID,rvs_str,key_str,bez_str,richtung_str,km_von,km_bis,bez_bw,nr_bw,baujahr_bw,breite_bw,hoehe_bw,laenge_bw,alter_bw,wandflaeche_bw,old_bw
bruecke,bruecke.165,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,58,58.058,Fußgängerunterführung Augasse,B190 055,1966.0,9.0,,58.0,56.0,,True
bruecke,bruecke.177,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,59,59.369,Steinebachbrücke,B190 058,2009.0,9.0,,369.0,13.0,,False
bruecke,bruecke.184,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,52,52.021,"Durchlass (Neumahdfeldbach) LW 2,30m",B190 048,1930.0,9.0,,21.0,92.0,,True
bruecke,bruecke.197,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,47,47.24,Müllerbachdurchlass 1,B190 037,1986.0,9.0,,240.0,36.0,,True
bruecke,bruecke.202,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,23,23.623,Fußgängerunterführung Bärenkreuzung,B190 021,1974.0,9.0,,623.0,48.0,,True
bruecke,bruecke.239,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,49,49.573,Fischbachbrücke,B190 042,1956.0,9.0,,573.0,66.0,,True
bruecke,bruecke.249,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,63,63.195,Leiblachbrücke Unterhochsteg (Grenze),B190 063,1950.0,9.0,,195.0,72.0,,True
bruecke,bruecke.255,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,12,12.675,Mengbachbrücke,B190 008,1932.0,9.0,,675.0,90.0,,True
bruecke,bruecke.264,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,59,59.866,Schanzgrabendurchlass,B190 084,2011.0,9.0,,866.0,11.0,,False
bruecke,bruecke.271,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,47,47.257,Müllerbachdurchlass 2,B190 038,1986.0,9.0,,257.0,36.0,,True
bruecke,bruecke.284,8    -L 190 -    -,L190,Vorarlberger Straße,RFB 1,3,4.035,Galgentobelbrücke,B190 004,1900.0,9.0,,1035.0,122.0,,True
